created_at;gender;age;height;weight;waist;neck;hip;wrist;calf;thigh;activity_multiplier;is_athlete
15/09/2026 12:09;male;20;172.00;73.70;79.00;39.00;95.00;16.00;39.50;59.00;1.725;0
09/09/2026 12:10;male;20;172.00;74.40;79.00;39.00;95.00;16.00;39.50;59.00;1.550;0
29/07/2026 12:10;male;20;170.00;75.00;80.00;39.00;95.00;16.00;39.50;59.00;1.550;0
27/07/2026 11:49;male;20;170.00;76.40;80.00;39.00;95.00;16.00;38.00;58.00;1.550;0
25/07/2026 12:11;male;20;170.00;75.10;81.00;39.00;96.00;16.00;38.00;57.00;1.550;0
07/05/2026 12:11;male;19;170.00;77.80;92.00;39.00;97.00;16.00;38.00;56.00;1.550;0
08/01/2026 12:11;male;19;170.00;79.30;97.00;39.00;98.00;16.00;38.00;55.00;1.550;0
16/11/2025 12:11;male;19;170.00;79.90;100.00;39.00;99.00;16.00;38.00;55.00;1.375;0
01/10/2025 12:10;male;19;170.00;80.00;107.00;39.00;100.00;16.00;37.00;55.00;1.200;0
25/09/2025 12:10;male;19;170.00;86.60;112.00;39.00;100.00;16.00;37.00;55.00;1.200;0
